FECHA     HORA  TEMP   HUM   PNM    DD    FF     NOMBRE                                                                                                
06052022     0  17.5   88  1020.7  350    7     AEROPARQUE                                    
06052022     1  16.6   84  1020.6  320   11     AEROPARQUE                                    
06052022     2  -999   90  1020.4  320    9     AEROPARQUE                                    
06052022     3  15.0   89  1020.4  320   11     AEROPARQUE                                    
06052022     4  15.1   88  1020.3  320    9     AEROPARQUE                                    
06052022     5  14.9   87  1020.3  300    6     AEROPARQUE                                    
06052022     6  14.8   87  1020.7  320    6     AEROPARQUE                                    
06052022     7  14.4   88  -999    320    7     AEROPARQUE                                    
06052022     8  13.7   90  1022.0  320    7     AEROPARQUE                                    
06052022     9  15.1   86  1022.4  320    7     AEROPARQUE                                    
06052022    10  17.7   77  1022.9  320    6     AEROPARQUE                                    
06052022    11  20.3   72  1023.1  320   15     AEROPARQUE                                    
06052022    12  20.1   75  1022.8  360   15     AEROPARQUE                                    
06052022    13  20.9   74  1022.3  360   13     AEROPARQUE                                    
06052022    14  21.9   68  1021.6  360   15     AEROPARQUE                                    
06052022    15  20.5   81  1021.4   20   13     AEROPARQUE                                    
06052022    16  20.7   81  1021.3   50    7     AEROPARQUE                                    
06052022    17  20.5   81  1021.2   20    9     AEROPARQUE                                    
06052022    18  20.0   85  1021.2  360    6     AEROPARQUE                                    
06052022    19  19.3   91  1021.4  -999   2     AEROPARQUE                                    
06052022    20  18.9   91  1022.1  -999   2     AEROPARQUE                                    
06052022    21  18.8   90  1022.5  340    6     AEROPARQUE                                    
06052022    22  18.2   89  1022.5  320    7     AEROPARQUE                                    
06052022    23  17.8   86  1022.5  320   11     AEROPARQUE    
06052022     0  16.8   94  1019.5   20    4     RESISTENCIA                                   
06052022     1  15.4   96  1020.0   50    4     RESISTENCIA                                   
06052022     2  14.7   96  1020.1   70    4     RESISTENCIA                                   
06052022     3  14.7   96  1019.9   90    6     RESISTENCIA                                   
06052022     4  14.7   97  1019.8   90    4     RESISTENCIA                                   
