"Presion" "T1" "T2" "Altura Geopotencial"
"1" 1010 23.4 14.8 54.9926334845064
"2" 1008 22 12.88 88.4171932700327
"3" 1000 21.6 13.5 224.122410729691
"4" 975 19.6 13.41 652.846194131905
"5" 951 19.8 9.22 1068.27567714018
"6" 939 19.2 11 1284.85964884544
"7" 935 19 11.67 1358.0395046533
"8" 925 18.8 11.05 1537.54090642896
"9" 910 18.6 8.31 1804.14584538859
"10" 886 17.1 7.68 2244.44797393922
"11" 876 16.4 7.42 2430.19316889082
"12" 862 17.2 1.96 2677.12302832916
"13" 858 17.1 2 2753.85372013328
"14" 850 16.8 2.08 2907.83436945537
"15" 836 15.7 2.08 3176.52616621855
"16" 781 11.3 2.08 4267.18731005465
"17" 744 NA 2.08 NA
"18" 701 4.4 2.08 5964.03246394519
"19" 700 4.4 2.08 5987.14247092889
"20" 600 -1.5 0.06 8361.08414454123
"21" 523 -10.9 0.38 10376.8373504094
"22" 516 -9.7 0.03 10605.0627897399
"23" 500 -11.3 0.03 11066.9873403871
"24" 493 -12 0.05 11273.5532278666
"25" 472 -14.1 0.16 11910.2280838922
"26" 463 -15.4 0.15 12180.3295756113
"27" 423 -21.2 0.11 13436.1433877871
"28" 400 -24.9 0.09 14194.8097171103
"29" 397 -25.4 0.09 14296.062867966
"30" 385 -27.3 0.08 14710.2348822988
"31" 356 -32.3 0.07 15747.245206838
"32" 345 -33.8 0.05 16171.8047196525
"33" 307 -39.4 0.02 17726.5909319497
"34" 300 -40.5 0.02 18029.7976106311
"35" 288 -42.5 0.02 18560.8256774862
"36" 255 -48.3 0.01 20121.6826703868
"37" 250 -48.7 0.01 20394.1020008933
"38" 231 -51.5 0.01 21424.7508886644
"39" 226 -52.3 0.01 21706.6984510613
"40" 200 -53.5 0 23417.3761737962
"41" 183 -55.9 NA NA
"42" 174 NA 0 NA
"43" 150 -58.3 0 27300.6726371532
"44" 139 -59.3 0 28330.9528461329
"45" 129 -61.5 0 29262.9921291726
"46" 104 -67.7 0 31908.1327851957
"47" 100 -67.9 0 32444.2922363882
"48" 96.4 -66.7 0 33040.6356139608
"49" 88 -68.5 0 34192.3370781369
"50" 84.4 -69.3 0 34718.5763181568
"51" 84 -69.2 0 34792.2312854163
"52" 79 -68.1 0 35731.8851515516
"53" 76 -67.2 0 36342.3296461643
"54" 74 -66.7 0 36754.8243135156
"55" 72 -67.5 0 37077.7035981159
"56" 70 -68.3 0 37410.1045812504
"57" 64 -69.6 0 38559.3921603876
"58" NA -70.5 0 NA
"59" 59 -68.6 0 39778.2883983314
"60" 57 -65.9 0 40488.2996664168
"61" 55 -65.5 0 41024.9428360455
"62" 51.2 -64.7 0 42102.9608567615
"63" 51 -64.7 0 42158.1624927868
"64" 50 -64.9 0 42419.8352187917
"65" 49 -64.5 0 42740.1395917018
"66" 43 -61.9 0 44823.7616732735
"67" 42 -61.4 0 45204.1771647261
"68" 41 -60.9 0 45593.3426006287
"69" 40 -60.4 0 45991.6814262284
"70" 36 -58.3 0 47696.2040969018
"71" 34 -57.2 0 48622.4327384904
